image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,regions_covered,bytes_in_weights,bytes_in_input,bytes_in_output,crash
"n01748264/n01748264_12351.JPEG","SEFI-column","weights",0,63,"Indian cobra, Naja naja",932,"pretzel",0.143805,632,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",0.059800,530,"digital clock",0.046572,556,"fire screen, fireguard",0.046572,0,0.084005,25264,101298,0x1d601f76,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n01748264/n01748264_12842.JPEG","SEFI-column","weights",0,63,"Indian cobra, Naja naja",599,"honeycomb",0.205372,794,"shower curtain",0.169285,815,"spider web, spider's web",0.149393,572,"goblet",0.079964,0,0.036087,25288,101738,0x1d6002bc,"weights,input_tensor,output(instructions excluded)",25128,152,8,0
"n01748264/n01748264_15432.JPEG","SEFI-column","weights",0,63,"Indian cobra, Naja naja",688,"oscilloscope, scope, cathode-ray oscilloscope, CRO",0.350597,904,"window screen",0.426480,815,"spider web, spider's web",0.426480,632,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",0.030894,0,-0.075883,25280,101850,0x1d600a58,"weights,input_tensor(instructions excluded)",25128,152,0,0
"n01748264/n01748264_19883.JPEG","SEFI-column","weights",0,63,"Indian cobra, Naja naja",818,"spotlight, spot",0.130730,905,"window shade",0.276051,854,"theater curtain, theatre curtain",0.130397,818,"spotlight, spot",0.061595,0,-0.145322,25280,101823,0x1d600c6b,"weights,input_tensor(instructions excluded)",25128,152,0,0
"n01748264/n01748264_2196.JPEG","SEFI-column","weights",0,63,"Indian cobra, Naja naja",626,"lighter, light, igniter, ignitor",0.483701,818,"spotlight, spot",0.146826,971,"bubble",0.078590,626,"lighter, light, igniter, ignitor",0.054014,0,0.336875,25264,101221,0x1d601816,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02093991/n02093991_2155.JPEG","SEFI-column","weights",0,184,"Irish terrier",971,"bubble",0.484768,599,"honeycomb",0.991338,202,"soft-coated wheaten terrier",0.002457,822,"steel drum",0.001161,0,-0.506570,25288,101646,0x1d60026c,"weights,input_tensor,output(instructions excluded)",25128,152,8,0
"n02093991/n02093991_75.JPEG","SEFI-column","weights",0,184,"Irish terrier",971,"bubble",0.421924,599,"honeycomb",0.141070,971,"bubble",0.085563,815,"spider web, spider's web",0.066637,0,0.280854,25264,101367,0x1d601e0e,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02093991/n02093991_7823.JPEG","SEFI-column","weights",0,184,"Irish terrier",599,"honeycomb",0.296851,904,"window screen",0.237943,646,"maze, labyrinth",0.237943,599,"honeycomb",0.209984,0,0.058908,25288,101639,0x1d600259,"weights,input_tensor,output(instructions excluded)",25128,152,8,0
"n02093991/n02093991_7935.JPEG","SEFI-column","weights",0,184,"Irish terrier",632,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",0.103415,530,"digital clock",0.129920,632,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",0.114654,839,"suspension bridge",0.078801,0,-0.026505,25264,101617,0x1d601628,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02093991/n02093991_8145.JPEG","SEFI-column","weights",0,184,"Irish terrier",971,"bubble",0.494386,783,"screw",0.156701,632,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",0.083876,613,"joystick",0.074020,0,0.337685,25264,101391,0x1d601577,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02096051/n02096051_2751.JPEG","SEFI-column","weights",0,191,"Airedale, Airedale terrier",971,"bubble",0.432915,904,"window screen",0.259627,971,"bubble",0.084289,1,"goldfish, Carassius auratus",0.065644,0,0.173287,25280,101680,0x1d600ce9,"weights,input_tensor(instructions excluded)",25128,152,0,0
"n02096051/n02096051_2946.JPEG","SEFI-column","weights",0,191,"Airedale, Airedale terrier",599,"honeycomb",0.631419,904,"window screen",0.641272,794,"shower curtain",0.235911,599,"honeycomb",0.052639,0,-0.009853,25280,101469,0x1d600bd0,"weights,input_tensor(instructions excluded)",25128,152,0,0
"n02096051/n02096051_495.JPEG","SEFI-column","weights",0,191,"Airedale, Airedale terrier",920,"traffic light, traffic signal, stoplight",0.218003,954,"banana",0.443426,626,"lighter, light, igniter, ignitor",0.112116,898,"water bottle",0.052960,0,-0.225424,25288,101539,0x1d6002e6,"weights,input_tensor,output(instructions excluded)",25128,152,8,0
"n02096051/n02096051_5436.JPEG","SEFI-column","weights",0,191,"Airedale, Airedale terrier",815,"spider web, spider's web",0.225902,688,"oscilloscope, scope, cathode-ray oscilloscope, CRO",0.576012,530,"digital clock",0.395887,781,"scoreboard",0.005647,0,-0.350110,25280,101193,0x1d600c2c,"weights,input_tensor(instructions excluded)",25128,152,0,0
"n02096051/n02096051_668.JPEG","SEFI-column","weights",0,191,"Airedale, Airedale terrier",904,"window screen",0.232152,599,"honeycomb",0.694121,837,"sunglasses, dark glasses, shades",0.073160,410,"apiary, bee house",0.039160,0,-0.461969,25280,101488,0x1d600553,"weights,input_tensor(instructions excluded)",25128,152,0,0
"n02113186/n02113186_12291.JPEG","SEFI-column","weights",0,264,"Cardigan, Cardigan Welsh corgi",812,"space shuttle",0.221979,599,"honeycomb",0.173507,862,"torch",0.049711,971,"bubble",0.043869,0,0.048472,25272,101466,0x1d601179,"weights,input_tensor(instructions excluded)",25120,152,0,0
"n02113186/n02113186_13231.JPEG","SEFI-column","weights",0,264,"Cardigan, Cardigan Welsh corgi",530,"digital clock",0.300892,508,"computer keyboard, keypad",0.315349,782,"screen, CRT screen",0.168794,688,"oscilloscope, scope, cathode-ray oscilloscope, CRO",0.148960,0,-0.014457,25288,101649,0x1d600363,"weights,input_tensor,output(instructions excluded)",25128,152,8,0
"n02113186/n02113186_50.JPEG","SEFI-column","weights",0,264,"Cardigan, Cardigan Welsh corgi",688,"oscilloscope, scope, cathode-ray oscilloscope, CRO",0.274730,904,"window screen",0.142666,688,"oscilloscope, scope, cathode-ray oscilloscope, CRO",0.125902,556,"fire screen, fireguard",0.111108,0,0.132064,25280,101532,0x1d600f80,"weights,input_tensor(instructions excluded)",25128,152,0,0
"n02113186/n02113186_5538.JPEG","SEFI-column","weights",0,264,"Cardigan, Cardigan Welsh corgi",818,"spotlight, spot",0.224343,812,"space shuttle",0.140966,470,"candle, taper, wax light",0.051859,971,"bubble",0.045765,0,0.083377,25280,101524,0x1d60046b,"weights,input_tensor(instructions excluded)",25128,152,0,0
"n02113186/n02113186_9772.JPEG","SEFI-column","weights",0,264,"Cardigan, Cardigan Welsh corgi",599,"honeycomb",0.089161,506,"coil, spiral, volute, whorl, helix",0.248806,714,"pick, plectrum, plectron",0.171002,514,"cowboy boot",0.091531,0,-0.159646,25288,101383,0x1d6001d8,"weights,input_tensor,output(instructions excluded)",25128,152,8,0
"n02114855/n02114855_1044.JPEG","SEFI-column","weights",0,272,"coyote, prairie wolf, brush wolf, Canis latrans",562,"fountain",0.551884,688,"oscilloscope, scope, cathode-ray oscilloscope, CRO",0.411348,815,"spider web, spider's web",0.194307,971,"bubble",0.117853,0,0.140536,25280,101144,0x1d600aae,"weights,input_tensor(instructions excluded)",25128,152,0,0
