image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,regions_covered,bytes_in_weights,bytes_in_input,bytes_in_output,crash
"n01748264/n01748264_12351.JPEG","transient-SEFI-col","weights",1,63,"Indian cobra, Naja naja",932,"pretzel",0.143805,932,"pretzel",0.065059,409,"analog clock",0.065059,488,"chain",0.057414,0,0.078746,25280,101554,0x1c100ddb,"weights,input_tensor(instructions excluded)",25128,152,0,0
"n01748264/n01748264_12842.JPEG","transient-SEFI-col","weights",1,63,"Indian cobra, Naja naja",599,"honeycomb",0.205372,904,"window screen",0.718232,688,"oscilloscope, scope, cathode-ray oscilloscope, CRO",0.075701,556,"fire screen, fireguard",0.066806,0,-0.512859,25280,101583,0x1c100a9a,"weights,input_tensor(instructions excluded)",25128,152,0,0
"n01748264/n01748264_15432.JPEG","transient-SEFI-col","weights",1,63,"Indian cobra, Naja naja",688,"oscilloscope, scope, cathode-ray oscilloscope, CRO",0.350597,599,"honeycomb",0.318856,904,"window screen",0.103518,530,"digital clock",0.055409,0,0.031740,25264,101341,0x1c1015c9,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n01748264/n01748264_19883.JPEG","transient-SEFI-col","weights",1,63,"Indian cobra, Naja naja",818,"spotlight, spot",0.130730,577,"gong, tam-tam",0.156370,815,"spider web, spider's web",0.137996,688,"oscilloscope, scope, cathode-ray oscilloscope, CRO",0.073864,0,-0.025640,25280,101492,0x1c100a61,"weights,input_tensor(instructions excluded)",25128,152,0,0
"n01748264/n01748264_2196.JPEG","transient-SEFI-col","weights",1,63,"Indian cobra, Naja naja",626,"lighter, light, igniter, ignitor",0.483701,606,"iron, smoothing iron",0.649776,680,"nipple",0.041539,898,"water bottle",0.036658,0,-0.166075,25280,101313,0x1c10071e,"weights,input_tensor(instructions excluded)",25128,152,0,0
"n02093991/n02093991_2155.JPEG","transient-SEFI-col","weights",1,184,"Irish terrier",971,"bubble",0.484768,599,"honeycomb",0.366479,971,"bubble",0.152771,828,"strainer",0.134820,0,0.118289,25264,101151,0x1c101b61,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02093991/n02093991_75.JPEG","transient-SEFI-col","weights",1,184,"Irish terrier",971,"bubble",0.421924,815,"spider web, spider's web",0.501980,971,"bubble",0.126921,562,"fountain",0.041205,0,-0.080057,25280,101680,0x1c1005be,"weights,input_tensor(instructions excluded)",25128,152,0,0
"n02093991/n02093991_7823.JPEG","transient-SEFI-col","weights",1,184,"Irish terrier",599,"honeycomb",0.296851,530,"digital clock",0.971906,688,"oscilloscope, scope, cathode-ray oscilloscope, CRO",0.015709,599,"honeycomb",0.002126,0,-0.675055,25280,101313,0x1c100c2d,"weights,input_tensor(instructions excluded)",25128,152,0,0
"n02093991/n02093991_7935.JPEG","transient-SEFI-col","weights",1,184,"Irish terrier",632,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",0.103415,815,"spider web, spider's web",0.141381,468,"cab, hack, taxi, taxicab",0.110108,115,"sea slug, nudibranch",0.075676,0,-0.037966,25264,101694,0x1c101d78,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02093991/n02093991_8145.JPEG","transient-SEFI-col","weights",1,184,"Irish terrier",971,"bubble",0.494386,506,"coil, spiral, volute, whorl, helix",0.531080,107,"jellyfish",0.071874,417,"balloon",0.063428,0,-0.036694,25280,101446,0x1c1005fe,"weights,input_tensor(instructions excluded)",25128,152,0,0
"n02096051/n02096051_2751.JPEG","transient-SEFI-col","weights",1,191,"Airedale, Airedale terrier",971,"bubble",0.432915,904,"window screen",0.508733,815,"spider web, spider's web",0.187152,971,"bubble",0.032522,0,-0.075819,25264,101735,0x1c1016cb,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02096051/n02096051_2946.JPEG","transient-SEFI-col","weights",1,191,"Airedale, Airedale terrier",599,"honeycomb",0.631419,904,"window screen",0.744331,599,"honeycomb",0.088898,632,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",0.078452,0,-0.112911,25280,101488,0x1c100412,"weights,input_tensor(instructions excluded)",25128,152,0,0
"n02096051/n02096051_495.JPEG","transient-SEFI-col","weights",1,191,"Airedale, Airedale terrier",920,"traffic light, traffic signal, stoplight",0.218003,920,"traffic light, traffic signal, stoplight",0.252547,818,"spotlight, spot",0.196684,723,"pinwheel",0.105277,0,-0.034545,25264,101590,0x1c101c52,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02096051/n02096051_5436.JPEG","transient-SEFI-col","weights",1,191,"Airedale, Airedale terrier",815,"spider web, spider's web",0.225902,815,"spider web, spider's web",0.237626,904,"window screen",0.237626,556,"fire screen, fireguard",0.163318,0,-0.011724,25264,101201,0x1c101edf,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02096051/n02096051_668.JPEG","transient-SEFI-col","weights",1,191,"Airedale, Airedale terrier",904,"window screen",0.232152,599,"honeycomb",0.384281,794,"shower curtain",0.124758,904,"window screen",0.052007,0,-0.152129,25264,101387,0x1c101685,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02113186/n02113186_12291.JPEG","transient-SEFI-col","weights",1,264,"Cardigan, Cardigan Welsh corgi",812,"space shuttle",0.221979,818,"spotlight, spot",0.308238,619,"lampshade, lamp shade",0.211849,846,"table lamp",0.113395,0,-0.086259,25264,101423,0x1c101a68,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02113186/n02113186_13231.JPEG","transient-SEFI-col","weights",1,264,"Cardigan, Cardigan Welsh corgi",530,"digital clock",0.300892,688,"oscilloscope, scope, cathode-ray oscilloscope, CRO",0.907791,508,"computer keyboard, keypad",0.031063,632,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",0.024192,0,-0.606899,25264,101380,0x1c1016ab,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02113186/n02113186_50.JPEG","transient-SEFI-col","weights",1,264,"Cardigan, Cardigan Welsh corgi",688,"oscilloscope, scope, cathode-ray oscilloscope, CRO",0.274730,904,"window screen",0.429932,688,"oscilloscope, scope, cathode-ray oscilloscope, CRO",0.158163,815,"spider web, spider's web",0.139579,0,-0.155202,25280,101491,0x1c100d83,"weights,input_tensor(instructions excluded)",25128,152,0,0
"n02113186/n02113186_5538.JPEG","transient-SEFI-col","weights",1,264,"Cardigan, Cardigan Welsh corgi",818,"spotlight, spot",0.224343,840,"swab, swob, mop",0.915262,818,"spotlight, spot",0.027639,463,"bucket, pail",0.018996,0,-0.690919,25272,100999,0x1c101060,"weights,input_tensor(instructions excluded)",25120,152,0,0
"n02113186/n02113186_9772.JPEG","transient-SEFI-col","weights",1,264,"Cardigan, Cardigan Welsh corgi",599,"honeycomb",0.089161,904,"window screen",0.544037,599,"honeycomb",0.083431,409,"analog clock",0.030692,0,-0.454876,25264,101140,0x1c101537,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02114855/n02114855_1044.JPEG","transient-SEFI-col","weights",1,272,"coyote, prairie wolf, brush wolf, Canis latrans",562,"fountain",0.551884,815,"spider web, spider's web",0.626540,818,"spotlight, spot",0.074830,794,"shower curtain",0.066037,0,-0.074656,25264,101570,0x1c10185b,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02114855/n02114855_1047.JPEG","transient-SEFI-col","weights",1,272,"coyote, prairie wolf, brush wolf, Canis latrans",815,"spider web, spider's web",0.695982,646,"maze, labyrinth",0.275109,971,"bubble",0.147255,932,"pretzel",0.061385,0,0.420872,25264,101351,0x1c1015e9,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02114855/n02114855_18848.JPEG","transient-SEFI-col","weights",1,272,"coyote, prairie wolf, brush wolf, Canis latrans",815,"spider web, spider's web",0.487443,794,"shower curtain",0.091014,999,"toilet tissue, toilet paper, bathroom tissue",0.055203,918,"crossword puzzle, crossword",0.033482,0,0.396429,25272,101305,0x1c1012aa,"weights,input_tensor(instructions excluded)",25120,152,0,0
"n02114855/n02114855_7204.JPEG","transient-SEFI-col","weights",1,272,"coyote, prairie wolf, brush wolf, Canis latrans",815,"spider web, spider's web",0.609785,998,"ear, spike, capitulum",0.493860,987,"corn",0.493860,907,"wine bottle",0.002592,0,0.115925,25288,101833,0x1c1002fe,"weights,input_tensor,output(instructions excluded)",25128,152,8,0
"n02114855/n02114855_7265.JPEG","transient-SEFI-col","weights",1,272,"coyote, prairie wolf, brush wolf, Canis latrans",688,"oscilloscope, scope, cathode-ray oscilloscope, CRO",0.612919,688,"oscilloscope, scope, cathode-ray oscilloscope, CRO",0.360888,815,"spider web, spider's web",0.218890,904,"window screen",0.132763,0,0.252031,25264,101486,0x1c1018e7,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02134418/n02134418_11090.JPEG","transient-SEFI-col","weights",1,297,"sloth bear, Melursus ursinus, Ursus ursinus",599,"honeycomb",0.201289,562,"fountain",0.300938,599,"honeycomb",0.067148,836,"sunglass",0.059258,0,-0.099650,25272,101356,0x1c1011e4,"weights,input_tensor(instructions excluded)",25120,152,0,0
"n02134418/n02134418_2895.JPEG","transient-SEFI-col","weights",1,297,"sloth bear, Melursus ursinus, Ursus ursinus",815,"spider web, spider's web",0.311991,815,"spider web, spider's web",0.472124,904,"window screen",0.324485,489,"chainlink fence",0.119372,0,-0.160133,25280,101347,0x1c100e59,"weights,input_tensor(instructions excluded)",25128,152,0,0
"n02134418/n02134418_3846.JPEG","transient-SEFI-col","weights",1,297,"sloth bear, Melursus ursinus, Ursus ursinus",688,"oscilloscope, scope, cathode-ray oscilloscope, CRO",0.592173,904,"window screen",0.487566,688,"oscilloscope, scope, cathode-ray oscilloscope, CRO",0.139690,815,"spider web, spider's web",0.084726,0,0.104607,25264,101874,0x1c10193b,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02134418/n02134418_4725.JPEG","transient-SEFI-col","weights",1,297,"sloth bear, Melursus ursinus, Ursus ursinus",815,"spider web, spider's web",0.709456,556,"fire screen, fireguard",0.345689,812,"space shuttle",0.112229,619,"lampshade, lamp shade",0.077134,0,0.363767,25288,101502,0x1c100245,"weights,input_tensor,output(instructions excluded)",25128,152,8,0
"n02134418/n02134418_5777.JPEG","transient-SEFI-col","weights",1,297,"sloth bear, Melursus ursinus, Ursus ursinus",476,"carousel, carrousel, merry-go-round, roundabout, whirligig",0.192333,476,"carousel, carrousel, merry-go-round, roundabout, whirligig",0.336192,327,"starfish, sea star",0.066200,488,"chain",0.058421,0,-0.143859,25264,101988,0x1c1016d7,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02264363/n02264363_13680.JPEG","transient-SEFI-col","weights",1,318,"lacewing, lacewing fly",470,"candle, taper, wax light",0.155683,815,"spider web, spider's web",0.589570,832,"stupa, tope",0.079790,417,"balloon",0.079790,0,-0.433887,25280,101661,0x1c100bdf,"weights,input_tensor(instructions excluded)",25128,152,0,0
"n02264363/n02264363_3092.JPEG","transient-SEFI-col","weights",1,318,"lacewing, lacewing fly",577,"gong, tam-tam",0.148472,818,"spotlight, spot",0.356420,711,"perfume, essence",0.079528,920,"traffic light, traffic signal, stoplight",0.061936,0,-0.207948,25264,101453,0x1c101d09,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02264363/n02264363_4632.JPEG","transient-SEFI-col","weights",1,318,"lacewing, lacewing fly",879,"umbrella",0.440202,815,"spider web, spider's web",0.268452,329,"sea cucumber, holothurian",0.126808,599,"honeycomb",0.076913,0,0.171750,25264,101557,0x1c1015c6,"weights,input_tensor(instructions excluded)",25120,144,0,0
"n02264363/n02264363_5318.JPEG","transient-SEFI-col","weights",1,318,"lacewing, lacewing fly",815,"spider web, spider's web",0.893504,916,"web site, website, internet site, site",0.139883,782,"screen, CRT screen",0.123446,620,"laptop, laptop computer",0.108941,0,0.753621,25280,101721,0x1c100e5d,"weights,input_tensor(instructions excluded)",25128,152,0,0
"n02264363/n02264363_9846.JPEG","transient-SEFI-col","weights",1,318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.475669,644,"matchstick",0.145840,949,"strawberry",0.100234,950,"orange",0.078062,0,0.329829,25288,101192,0x1c1003bf,"weights,input_tensor,output(instructions excluded)",25128,152,8,0
"n02699494/n02699494_12579.JPEG","transient-SEFI-col","weights",1,406,"altar",632,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",0.196686,688,"oscilloscope, scope, cathode-ray oscilloscope, CRO",0.682987,530,"digital clock",0.043662,468,"cab, hack, taxi, taxicab",0.030008,0,-0.486302,25280,101371,0x1c100a63,"weights,input_tensor(instructions excluded)",25128,152,0,0
