image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,regions_covered,bytes_in_weights,bytes_in_input,bytes_in_output,crash
"n01748264/n01748264_12351.JPEG","SEFI-block","input_tensor",0,63,"Indian cobra, Naja naja",932,"pretzel",0.143805,932,"pretzel",0.143805,506,"coil, spiral, volute, whorl, helix",0.098836,646,"maze, labyrinth",0.046687,0,0.000000,4096,16495,0x1b9e341e,"input_tensor",0,4096,0,0
"n01748264/n01748264_12842.JPEG","SEFI-block","input_tensor",0,63,"Indian cobra, Naja naja",599,"honeycomb",0.205372,599,"honeycomb",0.205372,556,"fire screen, fireguard",0.159944,904,"window screen",0.109928,0,0.000000,4096,16481,0x1b9d6bc3,"input_tensor",0,4096,0,0
"n01748264/n01748264_15432.JPEG","SEFI-block","input_tensor",0,63,"Indian cobra, Naja naja",688,"oscilloscope, scope, cathode-ray oscilloscope, CRO",0.350597,688,"oscilloscope, scope, cathode-ray oscilloscope, CRO",0.350597,646,"maze, labyrinth",0.165610,530,"digital clock",0.069037,0,0.000000,4096,16416,0x1b9cd64a,"input_tensor",0,4096,0,0
"n01748264/n01748264_19883.JPEG","SEFI-block","input_tensor",0,63,"Indian cobra, Naja naja",818,"spotlight, spot",0.130730,818,"spotlight, spot",0.130730,815,"spider web, spider's web",0.069974,111,"nematode, nematode worm, roundworm",0.061752,0,0.000000,4096,16348,0x1b9c96e1,"input_tensor",0,4096,0,0
"n01748264/n01748264_2196.JPEG","SEFI-block","input_tensor",0,63,"Indian cobra, Naja naja",626,"lighter, light, igniter, ignitor",0.483701,626,"lighter, light, igniter, ignitor",0.483701,111,"nematode, nematode worm, roundworm",0.074178,898,"water bottle",0.074178,0,0.000000,4096,16505,0x1b9cf35c,"input_tensor",0,4096,0,0
"n02093991/n02093991_2155.JPEG","SEFI-block","input_tensor",0,184,"Irish terrier",971,"bubble",0.484768,971,"bubble",0.484768,599,"honeycomb",0.138888,815,"spider web, spider's web",0.084240,0,0.000000,4096,16414,0x1b9dd85c,"input_tensor",0,4096,0,0
"n02093991/n02093991_75.JPEG","SEFI-block","input_tensor",0,184,"Irish terrier",971,"bubble",0.421924,971,"bubble",0.421924,815,"spider web, spider's web",0.120883,904,"window screen",0.083082,0,0.000000,4096,16431,0x1b9c49ea,"input_tensor",0,4096,0,0
"n02093991/n02093991_7823.JPEG","SEFI-block","input_tensor",0,184,"Irish terrier",599,"honeycomb",0.296851,599,"honeycomb",0.296851,904,"window screen",0.231188,202,"soft-coated wheaten terrier",0.123746,0,0.000000,4096,16400,0x1b9db2e4,"input_tensor",0,4096,0,0
"n02093991/n02093991_7935.JPEG","SEFI-block","input_tensor",0,184,"Irish terrier",632,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",0.103415,632,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",0.103415,530,"digital clock",0.091264,904,"window screen",0.080540,0,0.000000,4096,16573,0x1b9d2735,"input_tensor",0,4096,0,0
"n02093991/n02093991_8145.JPEG","SEFI-block","input_tensor",0,184,"Irish terrier",971,"bubble",0.494386,971,"bubble",0.494386,818,"spotlight, spot",0.110312,107,"jellyfish",0.035813,0,0.000000,4096,16357,0x1b9cd055,"input_tensor",0,4096,0,0
