image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,regions_covered,bytes_in_weights,bytes_in_input,bytes_in_output,crash
"n01748264/n01748264_12351.JPEG","SEFI-block","weights",0,63,"Indian cobra, Naja naja",932,"pretzel",0.143805,506,"coil, spiral, volute, whorl, helix",0.134722,932,"pretzel",0.081713,818,"spotlight, spot",0.049561,0,0.009083,4096,16276,0x1c583315,"weights",4096,0,0,0
"n01748264/n01748264_12842.JPEG","SEFI-block","weights",0,63,"Indian cobra, Naja naja",599,"honeycomb",0.205372,556,"fire screen, fireguard",0.202382,599,"honeycomb",0.157615,904,"window screen",0.095599,0,0.002990,4096,16335,0x1cae6a13,"weights",4096,0,0,0
"n01748264/n01748264_15432.JPEG","SEFI-block","weights",0,63,"Indian cobra, Naja naja",688,"oscilloscope, scope, cathode-ray oscilloscope, CRO",0.350597,688,"oscilloscope, scope, cathode-ray oscilloscope, CRO",0.335682,646,"maze, labyrinth",0.139933,904,"window screen",0.074901,0,0.014915,4096,16372,0x1c55718a,"weights",4096,0,0,0
"n01748264/n01748264_19883.JPEG","SEFI-block","weights",0,63,"Indian cobra, Naja naja",818,"spotlight, spot",0.130730,818,"spotlight, spot",0.125007,815,"spider web, spider's web",0.066912,632,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",0.052111,0,0.005722,4096,16423,0x1ce47ede,"weights",4096,0,0,0
"n01748264/n01748264_2196.JPEG","SEFI-block","weights",0,63,"Indian cobra, Naja naja",626,"lighter, light, igniter, ignitor",0.483701,626,"lighter, light, igniter, ignitor",0.496127,111,"nematode, nematode worm, roundworm",0.076084,898,"water bottle",0.067144,0,-0.012426,4096,16515,0x1cfe17b8,"weights",4096,0,0,0
"n02093991/n02093991_2155.JPEG","SEFI-block","weights",0,184,"Irish terrier",971,"bubble",0.484768,971,"bubble",0.504578,599,"honeycomb",0.144564,815,"spider web, spider's web",0.060263,0,-0.019810,4096,16563,0x1c21de1e,"weights",4096,0,0,0
"n02093991/n02093991_75.JPEG","SEFI-block","weights",0,184,"Irish terrier",971,"bubble",0.421924,971,"bubble",0.248921,815,"spider web, spider's web",0.080813,904,"window screen",0.071317,0,0.173003,4096,16473,0x1c3c8a0a,"weights",4096,0,0,0
"n02093991/n02093991_7823.JPEG","SEFI-block","weights",0,184,"Irish terrier",599,"honeycomb",0.296851,599,"honeycomb",0.284274,904,"window screen",0.221393,202,"soft-coated wheaten terrier",0.134282,0,0.012577,4096,16576,0x1ca886f7,"weights",4096,0,0,0
"n02093991/n02093991_7935.JPEG","SEFI-block","weights",0,184,"Irish terrier",632,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",0.103415,632,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",0.084133,530,"digital clock",0.084133,904,"window screen",0.074247,0,0.019282,4096,16470,0x1d727acb,"weights",4096,0,0,0
"n02093991/n02093991_8145.JPEG","SEFI-block","weights",0,184,"Irish terrier",971,"bubble",0.494386,971,"bubble",0.539489,818,"spotlight, spot",0.082733,107,"jellyfish",0.044284,0,-0.045103,4096,16473,0x1cb73710,"weights",4096,0,0,0
"n02096051/n02096051_2751.JPEG","SEFI-block","weights",0,191,"Airedale, Airedale terrier",971,"bubble",0.432915,971,"bubble",0.466271,904,"window screen",0.043370,626,"lighter, light, igniter, ignitor",0.029808,0,-0.033357,4096,16306,0x1cbf55fb,"weights",4096,0,0,0
"n02096051/n02096051_2946.JPEG","SEFI-block","weights",0,191,"Airedale, Airedale terrier",599,"honeycomb",0.631419,599,"honeycomb",0.731908,904,"window screen",0.112242,632,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",0.046789,0,-0.100489,4096,16555,0x1c4a278f,"weights",4096,0,0,0
"n02096051/n02096051_495.JPEG","SEFI-block","weights",0,191,"Airedale, Airedale terrier",920,"traffic light, traffic signal, stoplight",0.218003,626,"lighter, light, igniter, ignitor",0.222284,920,"traffic light, traffic signal, stoplight",0.134822,530,"digital clock",0.092662,0,-0.004281,4096,16578,0x1cc55408,"weights",4096,0,0,0
"n02096051/n02096051_5436.JPEG","SEFI-block","weights",0,191,"Airedale, Airedale terrier",815,"spider web, spider's web",0.225902,815,"spider web, spider's web",0.336207,904,"window screen",0.123684,556,"fire screen, fireguard",0.085007,0,-0.110305,4096,16456,0x1cdb6aa8,"weights",4096,0,0,0
"n02096051/n02096051_668.JPEG","SEFI-block","weights",0,191,"Airedale, Airedale terrier",904,"window screen",0.232152,971,"bubble",0.221258,828,"strainer",0.071832,904,"window screen",0.063392,0,0.010894,4096,16458,0x1c4e8141,"weights",4096,0,0,0
"n02113186/n02113186_12291.JPEG","SEFI-block","weights",0,264,"Cardigan, Cardigan Welsh corgi",812,"space shuttle",0.221979,812,"space shuttle",0.200371,680,"nipple",0.094648,818,"spotlight, spot",0.083527,0,0.021609,4096,16417,0x1d579836,"weights",4096,0,0,0
"n02113186/n02113186_13231.JPEG","SEFI-block","weights",0,264,"Cardigan, Cardigan Welsh corgi",530,"digital clock",0.300892,646,"maze, labyrinth",0.919383,599,"honeycomb",0.027763,530,"digital clock",0.011573,0,-0.618491,4096,16610,0x1c32e8db,"weights",4096,0,0,0
"n02113186/n02113186_50.JPEG","SEFI-block","weights",0,264,"Cardigan, Cardigan Welsh corgi",688,"oscilloscope, scope, cathode-ray oscilloscope, CRO",0.274730,688,"oscilloscope, scope, cathode-ray oscilloscope, CRO",0.339282,632,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",0.160265,530,"digital clock",0.110149,0,-0.064552,4096,16468,0x1cff4cc4,"weights",4096,0,0,0
