image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,regions_covered,bytes_in_weights,bytes_in_input,bytes_in_output,crash
"n01748264/n01748264_12351.JPEG","transient-SEFI-blk","buffers",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.901465,402,"acoustic guitar",0.030963,383,"Madagascar cat, ring-tailed lemur, Lemur catta",0.030963,252,"affenpinscher, monkey pinscher, monkey dog",0.030963,0,0.870503,1008,4074,0x5365000,"output",0,0,1008,0
"n01748264/n01748264_12842.JPEG","transient-SEFI-blk","buffers",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.329152,671,"mountain bike, all-terrain bike, off-roader",0.029627,403,"aircraft carrier, carrier, flattop, attack aircraft carrier",0.029627,315,"mantis, mantid",0.029627,0,0.299525,1008,4106,0x5365000,"output",0,0,1008,0
"n01748264/n01748264_15432.JPEG","transient-SEFI-blk","buffers",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.886884,902,"whistle",0.036721,668,"mosque",0.036721,421,"bannister, banister, balustrade, balusters, handrail",0.036721,0,0.850163,1008,3955,0x5365000,"output",0,0,1008,0
"n01748264/n01748264_19883.JPEG","transient-SEFI-blk","buffers",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.910606,751,"racer, race car, racing car",0.029821,674,"mousetrap",0.029821,614,"kimono",0.029821,0,0.880784,1008,4006,0x5365000,"output",0,0,1008,0
"n01748264/n01748264_2196.JPEG","transient-SEFI-blk","buffers",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.962559,811,"space heater",0.035065,708,"pedestal, plinth, footstall",0.035065,409,"analog clock",0.035065,0,0.927493,1008,3988,0x5365000,"output",0,0,1008,0
"n02093991/n02093991_2155.JPEG","transient-SEFI-blk","buffers",1,184,"Irish terrier",184,"Irish terrier",0.872575,338,"guinea pig, Cavia cobaya",0.025703,64,"green mamba",0.025703,13,"junco, snowbird",0.025703,0,0.846872,1008,4041,0x5365000,"output",0,0,1008,0
"n02093991/n02093991_75.JPEG","transient-SEFI-blk","buffers",1,184,"Irish terrier",184,"Irish terrier",0.580369,293,"cheetah, chetah, Acinonyx jubatus",0.032693,149,"dugong, Dugong dugon",0.032693,88,"macaw",0.032693,0,0.547676,1008,4028,0x5365000,"output",0,0,1008,0
"n02093991/n02093991_7823.JPEG","transient-SEFI-blk","buffers",1,184,"Irish terrier",184,"Irish terrier",0.677267,958,"hay",0.030907,57,"garter snake, grass snake",0.030907,698,"palace",0.030907,0,0.646360,1008,4055,0x5365000,"output",0,0,1008,0
"n02093991/n02093991_7935.JPEG","transient-SEFI-blk","buffers",1,184,"Irish terrier",184,"Irish terrier",0.902510,559,"folding chair",0.027070,299,"meerkat, mierkat",0.027070,534,"dishwasher, dish washer, dishwashing machine",0.023889,0,0.875440,1008,4072,0x5365000,"output",0,0,1008,0
"n02093991/n02093991_8145.JPEG","transient-SEFI-blk","buffers",1,184,"Irish terrier",243,"bull mastiff",0.299598,936,"head cabbage",0.033846,521,"Crock Pot",0.033846,91,"coucal",0.033846,0,0.265752,1008,4052,0x5365000,"output",0,0,1008,0
