image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,regions_covered,bytes_in_weights,bytes_in_input,bytes_in_output,crash
"n01748264/n01748264_12351.JPEG","transient-SEFI-blk","input_tensor",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.901465,63,"Indian cobra, Naja naja",0.970460,67,"diamondback, diamondback rattlesnake, Crotalus adamanteus",0.007410,54,"hognose snake, puff adder, sand viper",0.003966,1,-0.068995,4096,16471,0x1ba970ef,"input_tensor",0,4096,0,0
"n01748264/n01748264_12842.JPEG","transient-SEFI-blk","input_tensor",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.329152,63,"Indian cobra, Naja naja",0.393643,60,"night snake, Hypsiglena torquata",0.185944,57,"garter snake, grass snake",0.164095,1,-0.064492,4096,16405,0x1baa3914,"input_tensor",0,4096,0,0
"n01748264/n01748264_15432.JPEG","transient-SEFI-blk","input_tensor",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.886884,63,"Indian cobra, Naja naja",0.981146,52,"thunder snake, worm snake, Carphophis amoenus",0.003123,62,"rock python, rock snake, Python sebae",0.003123,1,-0.094262,4096,16517,0x1ba85bae,"input_tensor",0,4096,0,0
"n01748264/n01748264_19883.JPEG","transient-SEFI-blk","input_tensor",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.910606,63,"Indian cobra, Naja naja",0.949942,58,"water snake",0.022340,65,"sea snake",0.010553,1,-0.039336,4096,16602,0x1ba9f9b5,"input_tensor",0,4096,0,0
"n01748264/n01748264_2196.JPEG","transient-SEFI-blk","input_tensor",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.962559,63,"Indian cobra, Naja naja",0.962479,65,"sea snake",0.013729,43,"frilled lizard, Chlamydosaurus kingi",0.003933,1,0.000080,4096,16516,0x1ba83c0e,"input_tensor",0,4096,0,0
"n02093991/n02093991_2155.JPEG","transient-SEFI-blk","input_tensor",1,184,"Irish terrier",184,"Irish terrier",0.872575,184,"Irish terrier",0.879292,211,"vizsla, Hungarian pointer",0.063696,189,"Lakeland terrier",0.018249,1,-0.006717,4096,16490,0x1ba991f7,"input_tensor",0,4096,0,0
"n02093991/n02093991_75.JPEG","transient-SEFI-blk","input_tensor",1,184,"Irish terrier",184,"Irish terrier",0.580369,184,"Irish terrier",0.444185,182,"Border terrier",0.391991,170,"Irish wolfhound",0.053050,1,0.136184,4096,16397,0x1ba939e3,"input_tensor",0,4096,0,0
"n02093991/n02093991_7823.JPEG","transient-SEFI-blk","input_tensor",1,184,"Irish terrier",184,"Irish terrier",0.677267,184,"Irish terrier",0.621354,255,"Leonberg",0.084091,202,"soft-coated wheaten terrier",0.074210,1,0.055913,4096,16323,0x1ba8d01c,"input_tensor",0,4096,0,0
"n02093991/n02093991_7935.JPEG","transient-SEFI-blk","input_tensor",1,184,"Irish terrier",184,"Irish terrier",0.902510,184,"Irish terrier",0.902382,185,"Norfolk terrier",0.030878,189,"Lakeland terrier",0.024048,1,0.000128,4096,16426,0x1baa1bbc,"input_tensor",0,4096,0,0
"n02093991/n02093991_8145.JPEG","transient-SEFI-blk","input_tensor",1,184,"Irish terrier",243,"bull mastiff",0.299598,184,"Irish terrier",0.348872,182,"Border terrier",0.239776,243,"bull mastiff",0.186738,1,-0.049274,4096,16415,0x1ba96eb9,"input_tensor",0,4096,0,0
"n02096051/n02096051_2751.JPEG","transient-SEFI-blk","input_tensor",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.468643,189,"Lakeland terrier",0.417064,191,"Airedale, Airedale terrier",0.417064,193,"Australian terrier",0.049811,0,0.051579,4096,16411,0x1ba90aa1,"input_tensor",0,4096,0,0
"n02096051/n02096051_2946.JPEG","transient-SEFI-blk","input_tensor",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.937680,191,"Airedale, Airedale terrier",0.784969,184,"Irish terrier",0.106234,189,"Lakeland terrier",0.082735,1,0.152711,4096,16452,0x1ba89f8a,"input_tensor",0,4096,0,0
"n02096051/n02096051_495.JPEG","transient-SEFI-blk","input_tensor",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.990033,191,"Airedale, Airedale terrier",0.988289,189,"Lakeland terrier",0.007546,184,"Irish terrier",0.002162,1,0.001744,4096,16548,0x1ba82709,"input_tensor",0,4096,0,0
"n02096051/n02096051_5436.JPEG","transient-SEFI-blk","input_tensor",1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.639094,191,"Airedale, Airedale terrier",0.740571,189,"Lakeland terrier",0.145827,184,"Irish terrier",0.047343,1,-0.101477,4096,16486,0x1ba91c34,"input_tensor",0,4096,0,0
"n02096051/n02096051_668.JPEG","transient-SEFI-blk","input_tensor",1,191,"Airedale, Airedale terrier",189,"Lakeland terrier",0.491600,191,"Airedale, Airedale terrier",0.794875,189,"Lakeland terrier",0.094934,182,"Border terrier",0.021183,1,-0.303275,4096,16351,0x1ba9302f,"input_tensor",0,4096,0,0
"n02113186/n02113186_12291.JPEG","transient-SEFI-blk","input_tensor",1,264,"Cardigan, Cardigan Welsh corgi",158,"toy terrier",0.227132,151,"Chihuahua",0.468024,158,"toy terrier",0.221079,173,"Ibizan hound, Ibizan Podenco",0.104430,0,-0.240893,4096,16398,0x1ba8c29a,"input_tensor",0,4096,0,0
"n02113186/n02113186_13231.JPEG","transient-SEFI-blk","input_tensor",1,264,"Cardigan, Cardigan Welsh corgi",275,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",0.240434,186,"Norwich terrier",0.193250,282,"tiger cat",0.117212,275,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",0.091285,0,0.047185,4096,16404,0x1ba92a17,"input_tensor",0,4096,0,0
"n02113186/n02113186_50.JPEG","transient-SEFI-blk","input_tensor",1,264,"Cardigan, Cardigan Welsh corgi",264,"Cardigan, Cardigan Welsh corgi",0.491658,263,"Pembroke, Pembroke Welsh corgi",0.520482,264,"Cardigan, Cardigan Welsh corgi",0.315688,232,"Border collie",0.062163,0,-0.028824,4096,16467,0x1ba8c7e1,"input_tensor",0,4096,0,0
"n02113186/n02113186_5538.JPEG","transient-SEFI-blk","input_tensor",1,264,"Cardigan, Cardigan Welsh corgi",263,"Pembroke, Pembroke Welsh corgi",0.314391,263,"Pembroke, Pembroke Welsh corgi",0.323426,247,"Saint Bernard, St Bernard",0.222287,162,"beagle",0.152775,0,-0.009034,4096,16430,0x1ba8f30d,"input_tensor",0,4096,0,0
"n02113186/n02113186_9772.JPEG","transient-SEFI-blk","input_tensor",1,264,"Cardigan, Cardigan Welsh corgi",264,"Cardigan, Cardigan Welsh corgi",0.775101,264,"Cardigan, Cardigan Welsh corgi",0.869525,253,"basenji",0.091647,263,"Pembroke, Pembroke Welsh corgi",0.012403,1,-0.094425,4096,16359,0x1ba8eb2e,"input_tensor",0,4096,0,0
"n02114855/n02114855_1044.JPEG","transient-SEFI-blk","input_tensor",1,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.823074,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.772181,273,"dingo, warrigal, warragal, Canis dingo",0.055937,275,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",0.043563,1,0.050893,4096,16319,0x1ba90eeb,"input_tensor",0,4096,0,0
"n02114855/n02114855_1047.JPEG","transient-SEFI-blk","input_tensor",1,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.468838,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.559438,271,"red wolf, maned wolf, Canis rufus, Canis niger",0.299446,269,"timber wolf, grey wolf, gray wolf, Canis lupus",0.085793,1,-0.090600,4096,16454,0x1ba84158,"input_tensor",0,4096,0,0
"n02114855/n02114855_18848.JPEG","transient-SEFI-blk","input_tensor",1,272,"coyote, prairie wolf, brush wolf, Canis latrans",293,"cheetah, chetah, Acinonyx jubatus",0.605047,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.197511,291,"lion, king of beasts, Panthera leo",0.082335,562,"fountain",0.072660,1,0.407536,4096,16552,0x1ba8df49,"input_tensor",0,4096,0,0
"n02114855/n02114855_7204.JPEG","transient-SEFI-blk","input_tensor",1,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.582914,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.479720,269,"timber wolf, grey wolf, gray wolf, Canis lupus",0.107040,291,"lion, king of beasts, Panthera leo",0.073567,1,0.103194,4096,16409,0x1ba912c2,"input_tensor",0,4096,0,0
"n02114855/n02114855_7265.JPEG","transient-SEFI-blk","input_tensor",1,272,"coyote, prairie wolf, brush wolf, Canis latrans",342,"wild boar, boar, Sus scrofa",0.298694,342,"wild boar, boar, Sus scrofa",0.295990,269,"timber wolf, grey wolf, gray wolf, Canis lupus",0.066044,186,"Norwich terrier",0.058284,0,0.002704,4096,16521,0x1ba92107,"input_tensor",0,4096,0,0
"n02134418/n02134418_11090.JPEG","transient-SEFI-blk","input_tensor",1,297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.692614,297,"sloth bear, Melursus ursinus, Ursus ursinus",0.548349,295,"American black bear, black bear, Ursus americanus, Euarctos americanus",0.427054,379,"howler monkey, howler",0.008863,1,0.144265,4096,16562,0x1ba87283,"input_tensor",0,4096,0,0
"n02134418/n02134418_2895.JPEG","transient-SEFI-blk","input_tensor",1,297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.446180,295,"American black bear, black bear, Ursus americanus, Euarctos americanus",0.460208,297,"sloth bear, Melursus ursinus, Ursus ursinus",0.460208,294,"brown bear, bruin, Ursus arctos",0.070575,0,-0.014028,4096,16286,0x1ba9ec69,"input_tensor",0,4096,0,0
