image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,fault_phys_addr,regions_covered,bytes_in_weights,bytes_in_input,bytes_in_output,crash
"n01748264/n01748264_12351.JPEG","transient-SEFI-blk","weights",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.901465,632,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",0.351266,818,"spotlight, spot",0.188019,828,"strainer",0.088814,0,0.550199,4096,16487,0x1be17b68,"weights",4096,0,0,0
"n01748264/n01748264_12842.JPEG","transient-SEFI-blk","weights",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.329152,57,"garter snake, grass snake",0.158476,60,"night snake, Hypsiglena torquata",0.158476,63,"Indian cobra, Naja naja",0.158476,0,0.170676,4096,16427,0x1c56b6ea,"weights",4096,0,0,0
"n01748264/n01748264_15432.JPEG","transient-SEFI-blk","weights",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.886884,63,"Indian cobra, Naja naja",0.889286,52,"thunder snake, worm snake, Carphophis amoenus",0.023699,68,"sidewinder, horned rattlesnake, Crotalus cerastes",0.020914,1,-0.002402,4096,16481,0x1c7f18c1,"weights",4096,0,0,0
"n01748264/n01748264_19883.JPEG","transient-SEFI-blk","weights",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.910606,63,"Indian cobra, Naja naja",0.920962,58,"water snake",0.031514,60,"night snake, Hypsiglena torquata",0.013137,1,-0.010356,4096,16479,0x1d431873,"weights",4096,0,0,0
"n01748264/n01748264_2196.JPEG","transient-SEFI-blk","weights",1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.962559,506,"coil, spiral, volute, whorl, helix",0.225756,68,"sidewinder, horned rattlesnake, Crotalus cerastes",0.106640,63,"Indian cobra, Naja naja",0.094109,0,0.736802,4096,16543,0x1bf96966,"weights",4096,0,0,0
"n02093991/n02093991_2155.JPEG","transient-SEFI-blk","weights",1,184,"Irish terrier",184,"Irish terrier",0.872575,184,"Irish terrier",0.900293,189,"Lakeland terrier",0.034908,182,"Border terrier",0.016489,1,-0.027718,4096,16408,0x1cc79bf3,"weights",4096,0,0,0
"n02093991/n02093991_75.JPEG","transient-SEFI-blk","weights",1,184,"Irish terrier",184,"Irish terrier",0.580369,184,"Irish terrier",0.485036,182,"Border terrier",0.377747,170,"Irish wolfhound",0.051122,1,0.095332,4096,16745,0x1ca149d0,"weights",4096,0,0,0
"n02093991/n02093991_7823.JPEG","transient-SEFI-blk","weights",1,184,"Irish terrier",184,"Irish terrier",0.677267,184,"Irish terrier",0.648404,182,"Border terrier",0.163942,202,"soft-coated wheaten terrier",0.077441,1,0.028863,4096,16435,0x1c771ff3,"weights",4096,0,0,0
"n02093991/n02093991_7935.JPEG","transient-SEFI-blk","weights",1,184,"Irish terrier",184,"Irish terrier",0.902510,184,"Irish terrier",0.887151,191,"Airedale, Airedale terrier",0.034399,189,"Lakeland terrier",0.026790,1,0.015359,4096,16498,0x1cc3e031,"weights",4096,0,0,0
"n02093991/n02093991_8145.JPEG","transient-SEFI-blk","weights",1,184,"Irish terrier",243,"bull mastiff",0.299598,243,"bull mastiff",0.331494,163,"bloodhound, sleuthhound",0.227832,184,"Irish terrier",0.107620,0,-0.031896,4096,16450,0x1d0a67de,"weights",4096,0,0,0
