image_name,piece_name,piece_idx,conceptual_start,conceptual_end,weight_phys,bytes_in_piece,bits_in_piece
n01748264/n01748264_12351.JPEG,piece_15_layer4_1,15,14582848,19045440,0x1c100000,8192,32961
n01748264/n01748264_12842.JPEG,piece_15_layer4_1,15,14582848,19045440,0x1c100000,8192,32920
n01748264/n01748264_15432.JPEG,piece_16_layer4_2,16,19045440,23508032,0x1c100000,8192,32752
n01748264/n01748264_19883.JPEG,piece_15_layer4_1,15,14582848,19045440,0x1c100000,8192,32865
n01748264/n01748264_2196.JPEG,piece_05_layer2_1,5,604736,884800,0x1b980000,8192,33138
n02093991/n02093991_2155.JPEG,piece_16_layer4_2,16,19045440,23508032,0x1c100000,8192,32836
n02093991/n02093991_75.JPEG,piece_16_layer4_2,16,19045440,23508032,0x1c100000,8192,32672
n02093991/n02093991_7823.JPEG,piece_10_layer3_2,10,4074560,5191744,0x1b900000,8192,32718
n02093991/n02093991_7935.JPEG,piece_14_layer4_0,14,8543296,14582848,0x1c100000,8192,32834
n02093991/n02093991_8145.JPEG,piece_12_layer3_4,12,6308928,7426112,0x1b900000,8192,32956
n02096051/n02096051_2751.JPEG,piece_14_layer4_0,14,8543296,14582848,0x1c100000,8192,32911
n02096051/n02096051_2946.JPEG,piece_15_layer4_1,15,14582848,19045440,0x1c100000,8192,32872
n02096051/n02096051_495.JPEG,piece_08_layer3_0,8,1444928,2957376,0x1ba00000,8192,32711
n02096051/n02096051_5436.JPEG,piece_12_layer3_4,12,6308928,7426112,0x1b900000,4160,16636
n02096051/n02096051_5436.JPEG,piece_13_layer3_5,13,7426112,8543296,0x1b900000,4032,16190
n02096051/n02096051_668.JPEG,piece_14_layer4_0,14,8543296,14582848,0x1c100000,1088,4358
n02096051/n02096051_668.JPEG,piece_15_layer4_1,15,14582848,19045440,0x1c100000,7104,28527
n02113186/n02113186_12291.JPEG,piece_16_layer4_2,16,19045440,23508032,0x1c100000,8192,33215
n02113186/n02113186_13231.JPEG,piece_17_head,17,23508032,25557032,0x1c100000,8192,32881
n02113186/n02113186_50.JPEG,piece_16_layer4_2,16,19045440,23508032,0x1c100000,8192,32798
n02113186/n02113186_5538.JPEG,piece_13_layer3_5,13,7426112,8543296,0x1b900000,8192,32730
n02113186/n02113186_9772.JPEG,piece_15_layer4_1,15,14582848,19045440,0x1c100000,8192,32985
n02114855/n02114855_1044.JPEG,piece_14_layer4_0,14,8543296,14582848,0x1c100000,8192,32727
n02114855/n02114855_1047.JPEG,piece_14_layer4_0,14,8543296,14582848,0x1c100000,8192,33072
n02114855/n02114855_18848.JPEG,piece_14_layer4_0,14,8543296,14582848,0x1c100000,8192,32931
n02114855/n02114855_7204.JPEG,piece_15_layer4_1,15,14582848,19045440,0x1c100000,8192,32898
n02114855/n02114855_7265.JPEG,piece_16_layer4_2,16,19045440,23508032,0x1c100000,8192,32949
n02134418/n02134418_11090.JPEG,piece_09_layer3_1,9,2957376,4074560,0x1ba00000,8192,32554
n02134418/n02134418_2895.JPEG,piece_14_layer4_0,14,8543296,14582848,0x1c100000,8192,32934
n02134418/n02134418_3846.JPEG,piece_13_layer3_5,13,7426112,8543296,0x1b900000,8192,32947
n02134418/n02134418_4725.JPEG,piece_14_layer4_0,14,8543296,14582848,0x1c100000,8192,32875
n02134418/n02134418_5777.JPEG,piece_09_layer3_1,9,2957376,4074560,0x1ba00000,8192,32801
n02264363/n02264363_13680.JPEG,piece_14_layer4_0,14,8543296,14582848,0x1c100000,8192,33033
n02264363/n02264363_3092.JPEG,piece_15_layer4_1,15,14582848,19045440,0x1c100000,8192,32847
n02264363/n02264363_4632.JPEG,piece_17_head,17,23508032,25557032,0x1c100000,8192,33102
n02264363/n02264363_5318.JPEG,piece_15_layer4_1,15,14582848,19045440,0x1c100000,8192,32917
n02264363/n02264363_9846.JPEG,piece_14_layer4_0,14,8543296,14582848,0x1c100000,8192,32858
n02699494/n02699494_12579.JPEG,piece_09_layer3_1,9,2957376,4074560,0x1ba00000,8192,32839
n02699494/n02699494_18171.JPEG,piece_16_layer4_2,16,19045440,23508032,0x1c100000,8192,33085
n02699494/n02699494_2349.JPEG,piece_09_layer3_1,9,2957376,4074560,0x1ba00000,8192,32929
n02699494/n02699494_4661.JPEG,piece_14_layer4_0,14,8543296,14582848,0x1c100000,8192,32853
n02699494/n02699494_4682.JPEG,piece_10_layer3_2,10,4074560,5191744,0x1b900000,8192,32761
n02704792/n02704792_13304.JPEG,piece_08_layer3_0,8,1444928,2957376,0x1ba00000,8192,32779
n02704792/n02704792_2135.JPEG,piece_08_layer3_0,8,1444928,2957376,0x1ba00000,8192,32931
n02704792/n02704792_28593.JPEG,piece_16_layer4_2,16,19045440,23508032,0x1c100000,8192,32764
n02704792/n02704792_4565.JPEG,piece_15_layer4_1,15,14582848,19045440,0x1c100000,8192,32885
n02704792/n02704792_7641.JPEG,piece_16_layer4_2,16,19045440,23508032,0x1c100000,8192,32908
n02794156/n02794156_202.JPEG,piece_04_layer2_0,4,225344,604736,0x1b980000,8192,32882
n02794156/n02794156_3679.JPEG,piece_10_layer3_2,10,4074560,5191744,0x1b900000,8192,32788
n02794156/n02794156_4688.JPEG,piece_11_layer3_3,11,5191744,6308928,0x1b900000,8192,33173
n02794156/n02794156_6604.JPEG,piece_16_layer4_2,16,19045440,23508032,0x1c100000,8192,33059
n02794156/n02794156_7565.JPEG,piece_04_layer2_0,4,225344,604736,0x1b980000,8192,33043
n03124043/n03124043_5402.JPEG,piece_17_head,17,23508032,25557032,0x1c100000,8192,32999
n03124043/n03124043_5856.JPEG,piece_06_layer2_2,6,884800,1164864,0x1b900000,8192,32817
n03124043/n03124043_6328.JPEG,piece_08_layer3_0,8,1444928,2957376,0x1ba00000,8192,33054
n03124043/n03124043_7091.JPEG,piece_14_layer4_0,14,8543296,14582848,0x1c100000,8192,33017
