image_name,sefi_mode,target,transient,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,bytes_corrupted,bits_corrupted,pieces_affected,crash
n01748264/n01748264_12351.JPEG,transient-SEFI-row,weights,1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.985754,63,"Indian cobra, Naja naja",0.978083,61,"boa constrictor, Constrictor constrictor",0.0039972,54,"hognose snake, puff adder, sand viper",0.0039972,1,0.00767088,8192,32961,piece_15_layer4_1,0
n01748264/n01748264_12842.JPEG,transient-SEFI-row,weights,1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.867971,63,"Indian cobra, Naja naja",0.893147,57,"garter snake, grass snake",0.0346311,60,"night snake, Hypsiglena torquata",0.0346311,1,-0.0251764,8192,32920,piece_15_layer4_1,0
n01748264/n01748264_15432.JPEG,transient-SEFI-row,weights,1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.99683,63,"Indian cobra, Naja naja",0.994745,68,"sidewinder, horned rattlesnake, Crotalus cerastes",0.00149554,52,"thunder snake, worm snake, Carphophis amoenus",0.00116473,1,0.00208467,8192,32752,piece_16_layer4_2,0
n01748264/n01748264_19883.JPEG,transient-SEFI-row,weights,1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.991875,63,"Indian cobra, Naja naja",0.984546,58,water snake,0.00402362,60,"night snake, Hypsiglena torquata",0.00402362,1,0.00732857,8192,32865,piece_15_layer4_1,0
n01748264/n01748264_2196.JPEG,transient-SEFI-row,weights,1,63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977813,63,"Indian cobra, Naja naja",0.977813,65,sea snake,0.0108625,58,water snake,0.00513109,1,0,8192,33138,piece_05_layer2_1,0
n02093991/n02093991_2155.JPEG,transient-SEFI-row,weights,1,184,Irish terrier,184,Irish terrier,0.864441,184,Irish terrier,0.859964,189,Lakeland terrier,0.0333444,159,Rhodesian ridgeback,0.0202244,1,0.0044769,8192,32836,piece_16_layer4_2,0
n02093991/n02093991_75.JPEG,transient-SEFI-row,weights,1,184,Irish terrier,184,Irish terrier,0.799318,184,Irish terrier,0.67724,182,Border terrier,0.194032,189,Lakeland terrier,0.0262594,1,0.122078,8192,32672,piece_16_layer4_2,0
n02093991/n02093991_7823.JPEG,transient-SEFI-row,weights,1,184,Irish terrier,184,Irish terrier,0.433246,184,Irish terrier,0.461025,255,Leonberg,0.279626,202,soft-coated wheaten terrier,0.102869,1,-0.0277789,8192,32718,piece_10_layer3_2,0
n02093991/n02093991_7935.JPEG,transient-SEFI-row,weights,1,184,Irish terrier,184,Irish terrier,0.905437,184,Irish terrier,0.738722,171,Italian greyhound,0.0472249,191,"Airedale, Airedale terrier",0.0367788,1,0.166715,8192,32834,piece_14_layer4_0,0
n02093991/n02093991_8145.JPEG,transient-SEFI-row,weights,1,184,Irish terrier,243,bull mastiff,0.649265,414,"backpack, back pack, knapsack, packsack, rucksack, haversack",0.771033,492,chest,0.0632903,759,reflex camera,0.0383875,0,-0.121769,8192,32956,piece_12_layer3_4,0
n02096051/n02096051_2751.JPEG,transient-SEFI-row,weights,1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.69339,191,"Airedale, Airedale terrier",0.693674,189,Lakeland terrier,0.255188,193,Australian terrier,0.0209471,1,-0.000283778,8192,32911,piece_14_layer4_0,0
n02096051/n02096051_2946.JPEG,transient-SEFI-row,weights,1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.948567,191,"Airedale, Airedale terrier",0.919901,189,Lakeland terrier,0.0457992,188,wire-haired fox terrier,0.021634,1,0.0286653,8192,32872,piece_15_layer4_1,0
n02096051/n02096051_495.JPEG,transient-SEFI-row,weights,1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.985222,191,"Airedale, Airedale terrier",0.978446,184,Irish terrier,0.00659271,189,Lakeland terrier,0.00513441,1,0.00677603,8192,32711,piece_08_layer3_0,0
n02096051/n02096051_5436.JPEG,transient-SEFI-row,weights,1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.93177,741,"prayer rug, prayer mat",0.363413,885,velvet,0.0810885,184,Irish terrier,0.0631518,0,0.568357,8192,32826,"piece_12_layer3_4,piece_13_layer3_5",0
n02096051/n02096051_668.JPEG,transient-SEFI-row,weights,1,191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.936746,189,Lakeland terrier,0.225605,191,"Airedale, Airedale terrier",0.106568,811,space heater,0.0646369,0,0.711141,8192,32885,"piece_14_layer4_0,piece_15_layer4_1",0
n02113186/n02113186_12291.JPEG,transient-SEFI-row,weights,1,264,"Cardigan, Cardigan Welsh corgi",158,toy terrier,0.34567,158,toy terrier,0.382634,253,basenji,0.180743,173,"Ibizan hound, Ibizan Podenco",0.109626,0,-0.0369633,8192,33215,piece_16_layer4_2,0
n02113186/n02113186_13231.JPEG,transient-SEFI-row,weights,1,264,"Cardigan, Cardigan Welsh corgi",282,tiger cat,0.399781,282,tiger cat,0.399781,293,"cheetah, chetah, Acinonyx jubatus",0.114539,288,"leopard, Panthera pardus",0.0694715,0,0,8192,32881,piece_17_head,0
n02113186/n02113186_50.JPEG,transient-SEFI-row,weights,1,264,"Cardigan, Cardigan Welsh corgi",263,"Pembroke, Pembroke Welsh corgi",0.757816,263,"Pembroke, Pembroke Welsh corgi",0.607351,264,"Cardigan, Cardigan Welsh corgi",0.368377,232,Border collie,0.0040923,0,0.150464,8192,32798,piece_16_layer4_2,0
n02113186/n02113186_5538.JPEG,transient-SEFI-row,weights,1,264,"Cardigan, Cardigan Welsh corgi",162,beagle,0.454008,162,beagle,0.334005,247,"Saint Bernard, St Bernard",0.334005,263,"Pembroke, Pembroke Welsh corgi",0.0580414,0,0.120002,8192,32730,piece_13_layer3_5,0
n02113186/n02113186_9772.JPEG,transient-SEFI-row,weights,1,264,"Cardigan, Cardigan Welsh corgi",253,basenji,0.600946,264,"Cardigan, Cardigan Welsh corgi",0.497241,253,basenji,0.387252,195,"Boston bull, Boston terrier",0.0672943,1,0.103705,8192,32985,piece_15_layer4_1,0
n02114855/n02114855_1044.JPEG,transient-SEFI-row,weights,1,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.908873,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.882839,271,"red wolf, maned wolf, Canis rufus, Canis niger",0.0266594,274,"dhole, Cuon alpinus",0.0207624,1,0.0260339,8192,32727,piece_14_layer4_0,0
n02114855/n02114855_1047.JPEG,transient-SEFI-row,weights,1,272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.494958,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.552819,271,"red wolf, maned wolf, Canis rufus, Canis niger",0.335301,269,"timber wolf, grey wolf, gray wolf, Canis lupus",0.0353405,1,-0.057861,8192,33072,piece_14_layer4_0,0
n02114855/n02114855_18848.JPEG,transient-SEFI-row,weights,1,272,"coyote, prairie wolf, brush wolf, Canis latrans",293,"cheetah, chetah, Acinonyx jubatus",0.272674,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.107244,293,"cheetah, chetah, Acinonyx jubatus",0.107244,276,"hyena, hyaena",0.0650465,1,0.16543,8192,32931,piece_14_layer4_0,0
