image_name,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,timeout,crash
"n01748264/n01748264_12351.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,63,"Indian cobra, Naja naja",0.845951,54,"hognose snake, puff adder, sand viper",0.147004,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.002692,1,0.000000,0,0
"n01748264/n01748264_12842.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,63,"Indian cobra, Naja naja",0.936715,57,"garter snake, grass snake",0.017157,64,"green mamba",0.013362,1,0.000000,0,0
"n01748264/n01748264_15432.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,63,"Indian cobra, Naja naja",0.999974,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.000017,64,"green mamba",0.000002,1,0.000000,0,0
"n01748264/n01748264_19883.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,63,"Indian cobra, Naja naja",0.977429,60,"night snake, Hypsiglena torquata",0.013942,58,"water snake",0.006586,1,0.000000,0,0
"n01748264/n01748264_2196.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,63,"Indian cobra, Naja naja",0.997401,65,"sea snake",0.000708,54,"hognose snake, puff adder, sand viper",0.000552,1,0.000000,0,0
"n02093991/n02093991_2155.JPEG",184,"Irish terrier",184,"Irish terrier",0.614769,184,"Irish terrier",0.614769,211,"vizsla, Hungarian pointer",0.226161,182,"Border terrier",0.083200,1,0.000000,0,0
"n02093991/n02093991_75.JPEG",184,"Irish terrier",182,"Border terrier",0.983502,182,"Border terrier",0.983502,184,"Irish terrier",0.008509,185,"Norfolk terrier",0.004019,0,0.000000,0,0
"n02093991/n02093991_7823.JPEG",184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,202,"soft-coated wheaten terrier",0.552219,184,"Irish terrier",0.158213,226,"briard",0.123217,0,0.000000,0,0
"n02093991/n02093991_7935.JPEG",184,"Irish terrier",184,"Irish terrier",0.964093,184,"Irish terrier",0.964093,182,"Border terrier",0.017658,192,"cairn, cairn terrier",0.006496,1,0.000000,0,0
"n02093991/n02093991_8145.JPEG",184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,202,"soft-coated wheaten terrier",0.317502,184,"Irish terrier",0.192575,163,"bloodhound, sleuthhound",0.192575,0,-0.000000,0,0
"n02096051/n02096051_2751.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.841985,191,"Airedale, Airedale terrier",0.841600,189,"Lakeland terrier",0.041901,187,"Yorkshire terrier",0.032632,1,0.000385,0,0
"n02096051/n02096051_2946.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.914080,191,"Airedale, Airedale terrier",0.914080,211,"vizsla, Hungarian pointer",0.035443,189,"Lakeland terrier",0.013039,1,-0.000000,0,0
"n02096051/n02096051_495.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.968609,191,"Airedale, Airedale terrier",0.968602,189,"Lakeland terrier",0.029249,184,"Irish terrier",0.001134,1,0.000007,0,0
"n02096051/n02096051_5436.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.988703,191,"Airedale, Airedale terrier",0.988954,189,"Lakeland terrier",0.008556,188,"wire-haired fox terrier",0.001158,1,-0.000251,0,0
"n02096051/n02096051_668.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.991122,191,"Airedale, Airedale terrier",0.991122,175,"otterhound, otter hound",0.006678,189,"Lakeland terrier",0.001490,1,0.000000,0,0
"n02113186/n02113186_12291.JPEG",264,"Cardigan, Cardigan Welsh corgi",264,"Cardigan, Cardigan Welsh corgi",0.848451,264,"Cardigan, Cardigan Welsh corgi",0.848451,263,"Pembroke, Pembroke Welsh corgi",0.054240,253,"basenji",0.025621,1,0.000000,0,0
"n02113186/n02113186_13231.JPEG",264,"Cardigan, Cardigan Welsh corgi",201,"silky terrier, Sydney silky",0.489978,201,"silky terrier, Sydney silky",0.489978,275,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",0.297187,212,"English setter",0.085145,0,-0.000000,0,0
"n02113186/n02113186_50.JPEG",264,"Cardigan, Cardigan Welsh corgi",263,"Pembroke, Pembroke Welsh corgi",0.516311,329,"sea cucumber, holothurian",0.999999,263,"Pembroke, Pembroke Welsh corgi",0.000000,264,"Cardigan, Cardigan Welsh corgi",0.000000,0,-0.483688,0,0
"n02113186/n02113186_5538.JPEG",264,"Cardigan, Cardigan Welsh corgi",162,"beagle",0.571110,162,"beagle",0.571110,166,"Walker hound, Walker foxhound",0.099244,263,"Pembroke, Pembroke Welsh corgi",0.077291,0,0.000000,0,0
"n02113186/n02113186_9772.JPEG",264,"Cardigan, Cardigan Welsh corgi",195,"Boston bull, Boston terrier",0.305252,264,"Cardigan, Cardigan Welsh corgi",0.305253,195,"Boston bull, Boston terrier",0.305253,242,"boxer",0.144191,1,-0.000000,0,0
"n02114855/n02114855_1044.JPEG",272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.933076,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.933076,331,"hare",0.017090,104,"wallaby, brush kangaroo",0.010366,1,0.000000,0,0
"n02114855/n02114855_1047.JPEG",272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.856385,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.856385,280,"grey fox, gray fox, Urocyon cinereoargenteus",0.054747,271,"red wolf, maned wolf, Canis rufus, Canis niger",0.054747,1,0.000000,0,0
"n02114855/n02114855_18848.JPEG",272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.831597,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.831596,293,"cheetah, chetah, Acinonyx jubatus",0.087650,274,"dhole, Cuon alpinus",0.053162,1,0.000001,0,0
"n02114855/n02114855_7204.JPEG",272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.926733,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.926733,280,"grey fox, gray fox, Urocyon cinereoargenteus",0.016974,277,"red fox, Vulpes vulpes",0.008018,1,0.000000,0,0
"n02114855/n02114855_7265.JPEG",272,"coyote, prairie wolf, brush wolf, Canis latrans",272,"coyote, prairie wolf, brush wolf, Canis latrans",0.818428,272,"coyote, prairie wolf, brush wolf, Canis latrans",0.818428,269,"timber wolf, grey wolf, gray wolf, Canis lupus",0.040747,104,"wallaby, brush kangaroo",0.040747,1,0.000000,0,0
"n02134418/n02134418_11090.JPEG",297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.945521,297,"sloth bear, Melursus ursinus, Ursus ursinus",0.945521,369,"siamang, Hylobates syndactylus, Symphalangus syndactylus",0.022237,377,"marmoset",0.006371,1,-0.000000,0,0
"n02134418/n02134418_2895.JPEG",297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.999508,297,"sloth bear, Melursus ursinus, Ursus ursinus",0.999508,295,"American black bear, black bear, Ursus americanus, Euarctos americanus",0.000431,294,"brown bear, bruin, Ursus arctos",0.000058,1,0.000000,0,0
"n02134418/n02134418_3846.JPEG",297,"sloth bear, Melursus ursinus, Ursus ursinus",295,"American black bear, black bear, Ursus americanus, Euarctos americanus",0.730507,295,"American black bear, black bear, Ursus americanus, Euarctos americanus",0.730507,297,"sloth bear, Melursus ursinus, Ursus ursinus",0.268739,294,"brown bear, bruin, Ursus arctos",0.000666,0,0.000000,0,0
"n02134418/n02134418_4725.JPEG",297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.907159,297,"sloth bear, Melursus ursinus, Ursus ursinus",0.907159,367,"chimpanzee, chimp, Pan troglodytes",0.035174,295,"American black bear, black bear, Ursus americanus, Euarctos americanus",0.035174,1,0.000000,0,0
"n02134418/n02134418_5777.JPEG",297,"sloth bear, Melursus ursinus, Ursus ursinus",297,"sloth bear, Melursus ursinus, Ursus ursinus",0.608753,541,"drum, membranophone, tympan",0.378401,297,"sloth bear, Melursus ursinus, Ursus ursinus",0.378401,367,"chimpanzee, chimp, Pan troglodytes",0.108414,0,0.230353,0,0
"n02264363/n02264363_13680.JPEG",318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.562020,318,"lacewing, lacewing fly",0.562029,971,"bubble",0.125406,311,"grasshopper, hopper",0.125406,1,-0.000009,0,0
"n02264363/n02264363_3092.JPEG",318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.984973,318,"lacewing, lacewing fly",0.984974,317,"leafhopper",0.006637,307,"weevil",0.003135,1,-0.000001,0,0
"n02264363/n02264363_4632.JPEG",318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.974743,318,"lacewing, lacewing fly",0.974743,319,"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",0.017853,320,"damselfly",0.006568,1,-0.000000,0,0
"n02264363/n02264363_5318.JPEG",318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.999994,318,"lacewing, lacewing fly",0.999994,317,"leafhopper",0.000004,316,"cicada, cicala",0.000001,1,0.000000,0,0
"n02264363/n02264363_9846.JPEG",318,"lacewing, lacewing fly",318,"lacewing, lacewing fly",0.999998,318,"lacewing, lacewing fly",0.999998,311,"grasshopper, hopper",0.000001,312,"cricket",0.000001,1,0.000000,0,0
"n02699494/n02699494_12579.JPEG",406,"altar",406,"altar",0.955258,406,"altar",0.955444,884,"vault",0.017500,857,"throne",0.006438,1,-0.000186,0,0
"n02699494/n02699494_18171.JPEG",406,"altar",406,"altar",0.998605,406,"altar",0.998605,857,"throne",0.000709,887,"vestment",0.000430,1,0.000000,0,0
"n02699494/n02699494_2349.JPEG",406,"altar",406,"altar",0.957186,406,"altar",0.957186,884,"vault",0.037114,497,"church, church building",0.003047,1,0.000000,0,0
"n02699494/n02699494_4661.JPEG",406,"altar",406,"altar",0.998281,406,"altar",0.998281,497,"church, church building",0.001169,687,"organ, pipe organ",0.000158,1,0.000000,0,0
"n02699494/n02699494_4682.JPEG",406,"altar",406,"altar",0.910919,406,"altar",0.879843,884,"vault",0.056246,544,"Dutch oven",0.034115,1,0.031076,0,0
"n02704792/n02704792_13304.JPEG",408,"amphibian, amphibious vehicle",408,"amphibian, amphibious vehicle",0.998796,408,"amphibian, amphibious vehicle",0.998796,694,"paddlewheel, paddle wheel",0.000261,484,"catamaran",0.000261,1,0.000000,0,0
"n02704792/n02704792_2135.JPEG",408,"amphibian, amphibious vehicle",408,"amphibian, amphibious vehicle",0.985230,408,"amphibian, amphibious vehicle",0.985230,975,"lakeside, lakeshore",0.003136,536,"dock, dockage, docking facility",0.002442,1,-0.000000,0,0
"n02704792/n02704792_28593.JPEG",408,"amphibian, amphibious vehicle",408,"amphibian, amphibious vehicle",0.999893,408,"amphibian, amphibious vehicle",0.999893,847,"tank, army tank, armored combat vehicle, armoured combat vehicle",0.000058,586,"half track",0.000045,1,0.000000,0,0
"n02704792/n02704792_4565.JPEG",408,"amphibian, amphibious vehicle",408,"amphibian, amphibious vehicle",0.999509,408,"amphibian, amphibious vehicle",0.999509,751,"racer, race car, racing car",0.000158,864,"tow truck, tow car, wrecker",0.000123,1,0.000000,0,0
"n02704792/n02704792_7641.JPEG",408,"amphibian, amphibious vehicle",586,"half track",0.738355,586,"half track",0.738355,847,"tank, army tank, armored combat vehicle, armoured combat vehicle",0.128307,408,"amphibian, amphibious vehicle",0.099925,0,0.000000,0,0
"n02794156/n02794156_202.JPEG",426,"barometer",426,"barometer",0.654001,426,"barometer",0.654001,507,"combination lock",0.187375,635,"magnetic compass",0.113648,1,-0.000000,0,0
"n02794156/n02794156_3679.JPEG",426,"barometer",485,"CD player",0.267044,485,"CD player",0.267044,811,"space heater",0.126143,742,"printer",0.076509,0,-0.000000,0,0
"n02794156/n02794156_4688.JPEG",426,"barometer",426,"barometer",0.999539,426,"barometer",0.999533,409,"analog clock",0.000335,798,"slide rule, slipstick",0.000096,1,0.000006,0,0
"n02794156/n02794156_6604.JPEG",426,"barometer",635,"magnetic compass",0.988816,635,"magnetic compass",0.988816,426,"barometer",0.006663,441,"beer glass",0.001909,0,0.000000,0,0
"n02794156/n02794156_7565.JPEG",426,"barometer",892,"wall clock",0.506343,892,"wall clock",0.506341,426,"barometer",0.186273,635,"magnetic compass",0.041563,0,0.000002,0,0
"n03124043/n03124043_5402.JPEG",514,"cowboy boot",514,"cowboy boot",0.999997,514,"cowboy boot",0.999997,597,"holster",0.000002,777,"scabbard",0.000000,1,0.000000,0,0
"n03124043/n03124043_5856.JPEG",514,"cowboy boot",514,"cowboy boot",0.975995,514,"cowboy boot",0.975968,894,"wardrobe, closet, press",0.022953,753,"radiator",0.000693,1,0.000026,0,0
"n03124043/n03124043_6328.JPEG",514,"cowboy boot",502,"clog, geta, patten, sabot",0.501363,502,"clog, geta, patten, sabot",0.360607,731,"plunger, plumber's helper",0.280841,514,"cowboy boot",0.280841,0,0.140756,0,0
"n03124043/n03124043_7091.JPEG",514,"cowboy boot",514,"cowboy boot",0.999908,514,"cowboy boot",0.999906,857,"throne",0.000006,643,"mask",0.000005,1,0.000002,0,0
"n03124043/n03124043_7889.JPEG",514,"cowboy boot",630,"Loafer",0.958231,630,"Loafer",0.958439,514,"cowboy boot",0.022540,788,"shoe shop, shoe-shop, shoe store",0.003051,0,-0.000207,0,0
"n03637318/n03637318_1066.JPEG",619,"lampshade, lamp shade",619,"lampshade, lamp shade",0.903326,619,"lampshade, lamp shade",0.903320,846,"table lamp",0.095209,804,"soap dispenser",0.000824,1,0.000006,0,0
"n03637318/n03637318_14251.JPEG",619,"lampshade, lamp shade",619,"lampshade, lamp shade",0.926911,619,"lampshade, lamp shade",0.926911,846,"table lamp",0.027990,117,"chambered nautilus, pearly nautilus, nautilus",0.016977,1,0.000000,0,0
"n03637318/n03637318_16044.JPEG",619,"lampshade, lamp shade",619,"lampshade, lamp shade",0.904649,619,"lampshade, lamp shade",0.904649,846,"table lamp",0.095349,905,"window shade",0.000001,1,0.000000,0,0
"n03637318/n03637318_6645.JPEG",619,"lampshade, lamp shade",619,"lampshade, lamp shade",0.662967,619,"lampshade, lamp shade",0.662967,818,"spotlight, spot",0.243892,427,"barrel, cask",0.033007,1,0.000000,0,0
"n03637318/n03637318_9369.JPEG",619,"lampshade, lamp shade",619,"lampshade, lamp shade",0.913729,619,"lampshade, lamp shade",0.913628,818,"spotlight, spot",0.035425,846,"table lamp",0.027589,1,0.000101,0,0
"n03874293/n03874293_11031.JPEG",694,"paddlewheel, paddle wheel",694,"paddlewheel, paddle wheel",0.999999,694,"paddlewheel, paddle wheel",0.999999,425,"barn",0.000000,510,"container ship, containership, container vessel",0.000000,1,0.000000,0,0
"n03874293/n03874293_14179.JPEG",694,"paddlewheel, paddle wheel",694,"paddlewheel, paddle wheel",0.999978,694,"paddlewheel, paddle wheel",0.999978,595,"harvester, reaper",0.000013,856,"thresher, thrasher, threshing machine",0.000006,1,0.000000,0,0
"n03874293/n03874293_152.JPEG",694,"paddlewheel, paddle wheel",694,"paddlewheel, paddle wheel",0.999992,694,"paddlewheel, paddle wheel",0.999992,425,"barn",0.000002,517,"crane",0.000001,1,0.000000,0,0
"n03874293/n03874293_22199.JPEG",694,"paddlewheel, paddle wheel",694,"paddlewheel, paddle wheel",0.999289,694,"paddlewheel, paddle wheel",0.999289,554,"fireboat",0.000158,471,"cannon",0.000158,1,0.000000,0,0
"n03874293/n03874293_4256.JPEG",694,"paddlewheel, paddle wheel",694,"paddlewheel, paddle wheel",1.000000,694,"paddlewheel, paddle wheel",1.000000,595,"harvester, reaper",0.000000,569,"garbage truck, dustcart",0.000000,1,0.000000,0,0
