image_name,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,timeout,crash
"n01748264/n01748264_12351.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,61,"boa constrictor, Constrictor constrictor",0.104238,63,"Indian cobra, Naja naja",0.104238,66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.104238,0,0.741714,0,0
"n01748264/n01748264_12842.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,63,"Indian cobra, Naja naja",0.602138,65,"sea snake",0.172515,67,"diamondback, diamondback rattlesnake, Crotalus adamanteus",0.172515,1,0.334577,0,0
"n01748264/n01748264_15432.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,390,"eel",0.574568,329,"sea cucumber, holothurian",0.128203,63,"Indian cobra, Naja naja",0.060559,0,0.425406,0,0
"n01748264/n01748264_19883.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,125,"hermit crab",0.102574,828,"strainer",0.079885,124,"crayfish, crawfish, crawdad, crawdaddy",0.062214,0,0.874855,0,0
"n01748264/n01748264_2196.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,611,"jigsaw puzzle",0.325179,63,"Indian cobra, Naja naja",0.253250,600,"hook, claw",0.153604,0,0.672222,0,0
"n02093991/n02093991_2155.JPEG",184,"Irish terrier",184,"Irish terrier",0.614769,191,"Airedale, Airedale terrier",0.547369,184,"Irish terrier",0.156824,182,"Border terrier",0.095118,0,0.067400,0,0
"n02093991/n02093991_75.JPEG",184,"Irish terrier",182,"Border terrier",0.983502,182,"Border terrier",0.740389,189,"Lakeland terrier",0.100201,185,"Norfolk terrier",0.060775,0,0.243113,0,0
"n02093991/n02093991_7823.JPEG",184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,184,"Irish terrier",0.614958,191,"Airedale, Airedale terrier",0.372991,189,"Lakeland terrier",0.003227,1,-0.062739,0,0
"n02093991/n02093991_7935.JPEG",184,"Irish terrier",184,"Irish terrier",0.964093,819,"stage",0.413212,716,"picket fence, paling",0.118387,818,"spotlight, spot",0.118387,0,0.550881,0,0
"n02093991/n02093991_8145.JPEG",184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,219,"cocker spaniel, English cocker spaniel, cocker",0.729563,161,"basset, basset hound",0.209023,163,"bloodhound, sleuthhound",0.046639,0,-0.412061,0,0
"n02096051/n02096051_2751.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.841985,191,"Airedale, Airedale terrier",0.961559,189,"Lakeland terrier",0.022614,193,"Australian terrier",0.005046,1,-0.119574,0,0
