image_name,ground_truth_class,ground_truth_name,baseline_class,baseline_name,baseline_prob,faulty_top1,faulty_top1_name,faulty_top1_prob,faulty_top2,faulty_top2_name,faulty_top2_prob,faulty_top3,faulty_top3_name,faulty_top3_prob,correctly_classified,prob_drop,timeout,crash
"n01748264/n01748264_12351.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.845951,63,"Indian cobra, Naja naja",0.963203,994,"stinkhorn, carrion fungus",0.010700,36,"terrapin",0.008333,1,-0.117252,0,0
"n01748264/n01748264_12842.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.936715,63,"Indian cobra, Naja naja",0.874475,60,"night snake, Hypsiglena torquata",0.055903,64,"green mamba",0.016017,1,0.062240,0,0
"n01748264/n01748264_15432.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.999974,63,"Indian cobra, Naja naja",0.446361,44,"alligator lizard",0.210846,904,"window screen",0.164207,1,0.553613,0,0
"n01748264/n01748264_19883.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.977429,63,"Indian cobra, Naja naja",0.985121,904,"window screen",0.004026,60,"night snake, Hypsiglena torquata",0.003135,1,-0.007692,0,0
"n01748264/n01748264_2196.JPEG",63,"Indian cobra, Naja naja",63,"Indian cobra, Naja naja",0.997401,63,"Indian cobra, Naja naja",0.987701,816,"spindle",0.005183,113,"snail",0.001485,1,0.009700,0,0
"n02093991/n02093991_2155.JPEG",184,"Irish terrier",184,"Irish terrier",0.614769,182,"Border terrier",0.294863,151,"Chihuahua",0.229639,184,"Irish terrier",0.139283,0,0.319906,0,0
"n02093991/n02093991_75.JPEG",184,"Irish terrier",182,"Border terrier",0.983502,182,"Border terrier",0.887916,192,"cairn, cairn terrier",0.044207,185,"Norfolk terrier",0.034428,0,0.095585,0,0
"n02093991/n02093991_7823.JPEG",184,"Irish terrier",202,"soft-coated wheaten terrier",0.552219,365,"orangutan, orang, orangutang, Pongo pygmaeus",0.742239,262,"Brabancon griffon",0.100451,202,"soft-coated wheaten terrier",0.036954,0,-0.190020,0,0
"n02093991/n02093991_7935.JPEG",184,"Irish terrier",184,"Irish terrier",0.964093,184,"Irish terrier",0.319491,182,"Border terrier",0.319491,189,"Lakeland terrier",0.071288,1,0.644602,0,0
"n02093991/n02093991_8145.JPEG",184,"Irish terrier",202,"soft-coated wheaten terrier",0.317502,182,"Border terrier",0.309553,202,"soft-coated wheaten terrier",0.241080,184,"Irish terrier",0.187753,0,0.007950,0,0
"n02096051/n02096051_2751.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.841985,201,"silky terrier, Sydney silky",0.304626,193,"Australian terrier",0.237243,191,"Airedale, Airedale terrier",0.237243,0,0.537359,0,0
"n02096051/n02096051_2946.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.914080,191,"Airedale, Airedale terrier",0.752586,211,"vizsla, Hungarian pointer",0.130780,184,"Irish terrier",0.029181,1,0.161493,0,0
"n02096051/n02096051_495.JPEG",191,"Airedale, Airedale terrier",191,"Airedale, Airedale terrier",0.968609,191,"Airedale, Airedale terrier",0.951261,189,"Lakeland terrier",0.036884,182,"Border terrier",0.008230,1,0.017349,0,0
